Date,NET_SENTIMENT,UNCERTAINTY_MODAL,REGULATORY_PRESSURE,scaled_NET_SENTIMENT,scaled_UNCERTAINTY_MODAL,scaled_REGULATORY_PRESSURE
2014-07-19,-1.0,0.0,0.0,3.25,5.0,5.0
2014-07-20,0.0,0.0,0.0,5.0,5.0,5.0
2014-07-26,0.0,0.0,0.0,5.0,5.0,5.0
2014-07-28,0.0,0.0,2.0,5.0,5.0,10.0
2014-08-03,0.0,0.0,0.0,5.0,5.0,5.0
2014-08-04,-1.0,0.0,0.0,3.25,5.0,5.0
2014-08-07,0.0,0.0,0.0,5.0,5.0,5.0
2014-08-08,-2.0,0.0,0.0,2.5,5.0,5.0
2014-08-09,0.0,2.0,0.0,5.0,8.0,5.0
2014-08-13,-1.0,0.0,0.0,3.25,5.0,5.0
2014-08-16,0.0,0.0,0.0,5.0,5.0,5.0
2014-08-18,0.0,0.0,0.0,5.0,5.0,5.0
2014-08-19,0.0,0.0,0.0,5.0,5.0,5.0
2014-08-21,0.0,0.0,0.0,5.0,5.0,5.0
2014-08-27,0.0,1.0,0.0,5.0,7.0,5.0
2014-08-28,0.0,0.0,0.0,5.0,5.0,5.0
2014-09-03,0.0,0.0,0.0,5.0,5.0,5.0
2014-09-04,-1.0,0.0,0.0,3.25,5.0,5.0
2014-09-05,-1.0,0.0,0.0,3.25,5.0,5.0
2014-09-06,0.0,0.0,0.0,5.0,5.0,5.0
2014-09-09,0.0,0.0,0.0,5.0,5.0,5.0
2014-09-13,0.0,0.0,0.0,5.0,5.0,5.0
2014-09-15,0.0,1.0,0.0,5.0,7.0,5.0
2014-09-16,-1.0,1.0,0.0,3.25,7.0,5.0
2014-09-19,0.0,0.0,0.0,5.0,5.0,5.0
2014-09-20,0.0,1.0,0.0,5.0,7.0,5.0
2014-09-22,-1.0,0.0,0.0,3.25,5.0,5.0
2014-09-23,0.0,0.0,0.0,5.0,5.0,5.0
2014-09-24,0.0,0.0,0.0,5.0,5.0,5.0
2014-09-25,0.0,0.0,0.0,5.0,5.0,5.0
2014-09-27,0.0,1.0,0.0,5.0,7.0,5.0
2014-10-01,0.0,0.0,0.0,5.0,5.0,5.0
2014-10-03,-1.0,0.0,0.0,3.25,5.0,5.0
2014-10-04,-1.0,0.0,0.0,3.25,5.0,5.0
2014-10-07,0.0,0.0,0.0,5.0,5.0,5.0
2014-10-09,0.0,2.0,0.0,5.0,8.0,5.0
2014-10-10,-1.0,0.0,0.0,3.25,5.0,5.0
2014-10-11,0.0,0.0,0.0,5.0,5.0,5.0
2014-10-12,0.0,0.0,0.0,5.0,5.0,5.0
2014-10-14,-1.0,0.0,0.0,3.25,5.0,5.0
2014-10-16,0.0,0.0,0.0,5.0,5.0,5.0
2014-10-18,0.0,0.0,0.0,5.0,5.0,5.0
2014-10-19,0.0,1.0,0.0,5.0,7.0,5.0
2014-10-22,0.0,0.0,0.0,5.0,5.0,5.0
2014-10-27,-2.0,0.0,1.0,2.5,5.0,8.0
2014-10-29,-1.0,0.0,0.0,3.25,5.0,5.0
2014-11-02,0.0,0.0,0.0,5.0,5.0,5.0
2014-11-03,0.0,1.0,0.0,5.0,7.0,5.0
2014-11-04,-1.0,0.0,0.0,3.25,5.0,5.0
2014-11-07,0.0,0.0,0.0,5.0,5.0,5.0
2014-11-08,0.0,0.0,0.0,5.0,5.0,5.0
2014-11-09,0.0,0.0,0.0,5.0,5.0,5.0
2014-11-11,0.0,0.0,0.0,5.0,5.0,5.0
2014-11-12,0.0,0.0,0.0,5.0,5.0,5.0
2014-11-13,0.0,0.0,0.0,5.0,5.0,5.0
2014-11-14,0.0,0.0,0.0,5.0,5.0,5.0
2014-11-15,0.0,0.0,0.0,5.0,5.0,5.0
2014-11-16,0.0,0.0,0.0,5.0,5.0,5.0
2014-11-18,-2.0,0.0,0.0,2.5,5.0,5.0
2014-11-21,0.0,0.0,0.0,5.0,5.0,5.0
2014-11-24,0.0,0.0,0.0,5.0,5.0,5.0
2014-11-25,0.0,0.0,0.0,5.0,5.0,5.0
2014-11-30,0.0,0.0,0.0,5.0,5.0,5.0
2014-12-01,-1.0,0.0,0.0,3.25,5.0,5.0
2014-12-03,0.0,0.0,0.0,5.0,5.0,5.0
2014-12-05,0.0,0.0,0.0,5.0,5.0,5.0
2014-12-06,0.0,1.0,0.0,5.0,7.0,5.0
2014-12-13,0.0,1.0,1.0,5.0,7.0,8.0
2014-12-16,0.0,0.0,0.0,5.0,5.0,5.0
2014-12-20,0.0,0.0,0.0,5.0,5.0,5.0
2014-12-22,0.0,0.0,0.0,5.0,5.0,5.0
2014-12-24,-1.0,0.0,0.0,3.25,5.0,5.0
2014-12-27,0.0,0.0,0.0,5.0,5.0,5.0
2014-12-30,0.0,0.0,0.0,5.0,5.0,5.0
2015-01-02,0.0,0.0,0.0,5.0,5.0,5.0
2015-01-03,0.0,0.0,0.0,5.0,5.0,5.0
2015-01-08,0.0,0.0,0.0,5.0,5.0,5.0
2015-01-10,0.0,1.0,0.0,5.0,7.0,5.0
2015-01-12,0.0,0.0,0.0,5.0,5.0,5.0
2015-01-13,0.0,0.0,0.0,5.0,5.0,5.0
2015-01-14,0.0,0.0,0.0,5.0,5.0,5.0
2015-01-15,0.0,0.0,0.0,5.0,5.0,5.0
2015-01-23,0.0,0.0,0.0,5.0,5.0,5.0
2015-01-24,0.0,0.0,0.0,5.0,5.0,5.0
2015-01-27,0.0,0.0,1.0,5.0,5.0,8.0
2015-01-31,0.0,0.0,0.0,5.0,5.0,5.0
2015-02-02,-1.0,0.0,0.0,3.25,5.0,5.0
2015-02-03,0.0,0.0,0.0,5.0,5.0,5.0
2015-02-04,0.0,0.0,0.0,5.0,5.0,5.0
2015-02-05,0.0,0.0,0.0,5.0,5.0,5.0
2015-02-06,0.0,0.0,0.0,5.0,5.0,5.0
2015-02-07,0.0,0.0,0.0,5.0,5.0,5.0
2015-02-08,0.0,0.0,0.0,5.0,5.0,5.0
2015-02-09,0.0,0.0,0.0,5.0,5.0,5.0
2015-02-10,0.0,0.0,0.0,5.0,5.0,5.0
2015-02-12,0.0,0.0,0.0,5.0,5.0,5.0
2015-02-13,-1.0,0.0,0.0,3.25,5.0,5.0
2015-02-14,0.0,0.0,0.0,5.0,5.0,5.0
2015-02-16,0.0,0.0,0.0,5.0,5.0,5.0
2015-02-20,0.0,0.0,0.0,5.0,5.0,5.0
2015-02-21,0.0,0.0,0.0,5.0,5.0,5.0
2015-02-23,0.0,2.0,0.0,5.0,8.0,5.0
2015-03-02,0.0,0.0,0.0,5.0,5.0,5.0
2015-03-03,0.0,1.0,0.0,5.0,7.0,5.0
2015-03-04,0.0,2.0,0.0,5.0,8.0,5.0
2015-03-05,0.0,0.0,0.0,5.0,5.0,5.0
2015-03-08,0.0,0.0,0.0,5.0,5.0,5.0
2015-03-12,0.0,0.0,0.0,5.0,5.0,5.0
2015-03-13,0.0,0.0,0.0,5.0,5.0,5.0
2015-03-15,0.0,0.0,0.0,5.0,5.0,5.0
2015-03-18,0.0,0.0,0.0,5.0,5.0,5.0
2015-03-21,0.0,1.0,0.0,5.0,7.0,5.0
2015-03-22,0.0,0.0,0.0,5.0,5.0,5.0
2015-03-23,0.0,0.0,0.0,5.0,5.0,5.0
2015-03-25,0.0,1.0,0.0,5.0,7.0,5.0
2015-03-26,0.0,0.0,0.0,5.0,5.0,5.0
2015-03-27,0.0,0.0,0.0,5.0,5.0,5.0
2015-03-28,0.0,1.0,0.0,5.0,7.0,5.0
2015-03-31,0.0,0.0,0.0,5.0,5.0,5.0
2015-04-02,0.0,0.0,0.0,5.0,5.0,5.0
2015-04-04,0.0,4.0,0.0,5.0,10.0,5.0
2015-04-05,0.0,0.0,0.0,5.0,5.0,5.0
2015-04-06,0.0,0.0,0.0,5.0,5.0,5.0
2015-04-07,-1.0,0.0,0.0,3.25,5.0,5.0
2015-04-08,0.0,0.0,0.0,5.0,5.0,5.0
2015-04-09,0.0,0.0,0.0,5.0,5.0,5.0
2015-04-10,0.0,0.0,0.0,5.0,5.0,5.0
2015-04-14,0.0,0.0,0.0,5.0,5.0,5.0
2015-04-17,-1.0,0.0,0.0,3.25,5.0,5.0
2015-04-21,0.0,0.0,0.0,5.0,5.0,5.0
2015-04-22,0.0,0.0,0.0,5.0,5.0,5.0
2015-04-23,0.0,0.0,0.0,5.0,5.0,5.0
2015-04-24,-1.0,0.0,0.0,3.25,5.0,5.0
2015-04-25,0.0,1.0,0.0,5.0,7.0,5.0
2015-04-30,0.0,0.0,0.0,5.0,5.0,5.0
2015-05-02,0.0,0.0,0.0,5.0,5.0,5.0
2015-05-08,0.0,1.0,0.0,5.0,7.0,5.0
2015-05-09,0.0,1.0,0.0,5.0,7.0,5.0
2015-05-11,0.0,0.0,0.0,5.0,5.0,5.0
2015-05-12,0.0,0.0,0.0,5.0,5.0,5.0
2015-05-13,0.0,0.0,0.0,5.0,5.0,5.0
2015-05-15,0.0,0.0,0.0,5.0,5.0,5.0
2015-05-16,0.0,0.0,0.0,5.0,5.0,5.0
2015-05-17,0.0,0.0,0.0,5.0,5.0,5.0
2015-05-18,0.0,1.0,0.0,5.0,7.0,5.0
2015-05-20,0.0,0.0,0.0,5.0,5.0,5.0
2015-05-24,0.0,0.0,0.0,5.0,5.0,5.0
2015-05-26,0.0,0.0,0.0,5.0,5.0,5.0
2015-05-30,0.0,0.0,0.0,5.0,5.0,5.0
2015-06-02,0.0,0.0,0.0,5.0,5.0,5.0
2015-06-03,0.0,0.0,0.0,5.0,5.0,5.0
2015-06-04,0.0,0.0,0.0,5.0,5.0,5.0
2015-06-05,0.0,0.0,0.0,5.0,5.0,5.0
2015-06-09,0.0,2.0,0.0,5.0,8.0,5.0
2015-06-10,0.0,0.0,0.0,5.0,5.0,5.0
2015-06-15,0.0,2.0,0.0,5.0,8.0,5.0
2015-06-16,0.0,3.0,0.0,5.0,9.0,5.0
2015-06-17,0.0,0.0,0.0,5.0,5.0,5.0
2015-06-21,0.0,1.0,0.0,5.0,7.0,5.0
2015-06-22,0.0,0.0,0.0,5.0,5.0,5.0
2015-06-24,0.0,0.0,0.0,5.0,5.0,5.0
2015-06-25,0.0,0.0,0.0,5.0,5.0,5.0
2015-06-28,0.0,0.0,0.0,5.0,5.0,5.0
2015-07-04,0.0,0.0,0.0,5.0,5.0,5.0
2015-07-06,0.0,2.0,0.0,5.0,8.0,5.0
2015-07-07,0.0,0.0,0.0,5.0,5.0,5.0
2015-07-09,0.0,1.0,0.0,5.0,7.0,5.0
2015-07-11,0.0,1.0,0.0,5.0,7.0,5.0
2015-07-12,0.0,0.0,0.0,5.0,5.0,5.0
2015-07-16,-1.0,0.0,0.0,3.25,5.0,5.0
2015-07-17,0.0,0.0,0.0,5.0,5.0,5.0
2015-07-19,0.0,0.0,0.0,5.0,5.0,5.0
2015-07-20,0.0,0.0,0.0,5.0,5.0,5.0
2015-07-21,0.0,0.0,0.0,5.0,5.0,5.0
2015-07-28,-1.0,0.0,0.0,3.25,5.0,5.0
2015-07-29,0.0,0.0,0.0,5.0,5.0,5.0
2015-07-30,0.0,0.0,0.0,5.0,5.0,5.0
2015-08-01,0.0,0.0,0.0,5.0,5.0,5.0
2015-08-03,0.0,0.0,0.0,5.0,5.0,5.0
2015-08-08,0.0,0.0,0.0,5.0,5.0,5.0
2015-08-12,0.0,0.0,0.0,5.0,5.0,5.0
2015-08-15,0.0,0.0,0.0,5.0,5.0,5.0
2015-08-20,-1.0,0.0,0.0,3.25,5.0,5.0
2015-08-23,0.0,0.0,0.0,5.0,5.0,5.0
2015-08-27,0.0,0.0,0.0,5.0,5.0,5.0
2015-08-29,0.0,0.0,0.0,5.0,5.0,5.0
2015-08-30,0.0,0.0,0.0,5.0,5.0,5.0
2015-09-02,-1.0,0.0,1.0,3.25,5.0,8.0
2015-09-04,-1.0,0.0,0.0,3.25,5.0,5.0
2015-09-05,0.0,0.0,0.0,5.0,5.0,5.0
2015-09-08,0.0,0.0,0.0,5.0,5.0,5.0
2015-09-10,0.0,0.0,0.0,5.0,5.0,5.0
2015-09-12,0.0,0.0,0.0,5.0,5.0,5.0
2015-09-17,0.0,0.0,0.0,5.0,5.0,5.0
2015-09-23,-1.0,0.0,1.0,3.25,5.0,8.0
2015-09-24,-2.0,0.0,0.0,2.5,5.0,5.0
2015-09-30,0.0,0.0,0.0,5.0,5.0,5.0
2015-10-03,0.0,0.0,0.0,5.0,5.0,5.0
2015-10-08,0.0,0.0,0.0,5.0,5.0,5.0
2015-10-09,0.0,0.0,1.0,5.0,5.0,8.0
2015-10-10,0.0,0.0,0.0,5.0,5.0,5.0
2015-10-18,0.0,1.0,0.0,5.0,7.0,5.0
2015-10-22,0.0,1.0,0.0,5.0,7.0,5.0
2015-10-26,0.0,0.0,0.0,5.0,5.0,5.0
2015-10-29,0.0,0.0,0.0,5.0,5.0,5.0
2015-10-30,0.0,0.0,0.0,5.0,5.0,5.0
2015-10-31,0.0,0.0,0.0,5.0,5.0,5.0
2015-11-04,0.0,0.0,0.0,5.0,5.0,5.0
2015-11-06,0.0,0.0,0.0,5.0,5.0,5.0
2015-11-07,0.0,0.0,0.0,5.0,5.0,5.0
2015-11-14,0.0,0.0,0.0,5.0,5.0,5.0
2015-11-17,0.0,0.0,0.0,5.0,5.0,5.0
2015-11-19,0.0,0.0,0.0,5.0,5.0,5.0
2015-11-20,0.0,0.0,0.0,5.0,5.0,5.0
2015-11-21,0.0,0.0,0.0,5.0,5.0,5.0
2015-11-24,0.0,1.0,0.0,5.0,7.0,5.0
2015-11-26,0.0,0.0,0.0,5.0,5.0,5.0
2015-11-27,-1.0,0.0,0.0,3.25,5.0,5.0
2015-11-28,0.0,0.0,0.0,5.0,5.0,5.0
2015-11-30,0.0,0.0,0.0,5.0,5.0,5.0
2015-12-01,0.0,0.0,0.0,5.0,5.0,5.0
2015-12-05,-1.0,0.0,0.0,3.25,5.0,5.0
2015-12-06,0.0,0.0,1.0,5.0,5.0,8.0
2015-12-09,-1.0,1.0,0.0,3.25,7.0,5.0
2015-12-12,0.0,2.0,0.0,5.0,8.0,5.0
2015-12-13,0.0,0.0,0.0,5.0,5.0,5.0
2015-12-15,0.0,0.0,0.0,5.0,5.0,5.0
2015-12-19,-1.0,0.0,0.0,3.25,5.0,5.0
2015-12-22,-1.0,1.0,0.0,3.25,7.0,5.0
2015-12-27,0.0,0.0,0.0,5.0,5.0,5.0
2015-12-28,0.0,0.0,0.0,5.0,5.0,5.0
2016-01-03,-1.0,0.0,0.0,3.25,5.0,5.0
2016-01-09,0.0,0.0,0.0,5.0,5.0,5.0
2016-01-15,0.0,0.0,0.0,5.0,5.0,5.0
2016-01-17,0.0,0.0,0.0,5.0,5.0,5.0
2016-01-19,0.0,0.0,0.0,5.0,5.0,5.0
2016-01-22,0.0,0.0,0.0,5.0,5.0,5.0
2016-01-24,0.0,0.0,0.0,5.0,5.0,5.0
2016-01-26,0.0,0.0,0.0,5.0,5.0,5.0
2016-01-31,0.0,0.0,0.0,5.0,5.0,5.0
2016-02-01,0.0,0.0,1.0,5.0,5.0,8.0
2016-02-05,0.0,0.0,0.0,5.0,5.0,5.0
2016-02-06,0.0,0.0,0.0,5.0,5.0,5.0
2016-02-11,0.0,0.0,0.0,5.0,5.0,5.0
2016-02-13,0.0,0.0,0.0,5.0,5.0,5.0
2016-02-17,0.0,0.0,0.0,5.0,5.0,5.0
2016-02-18,0.0,0.0,0.0,5.0,5.0,5.0
2016-02-24,0.0,1.0,0.0,5.0,7.0,5.0
2016-02-26,0.0,0.0,0.0,5.0,5.0,5.0
2016-02-27,0.0,0.0,0.0,5.0,5.0,5.0
2016-02-29,0.0,0.0,0.0,5.0,5.0,5.0
2016-03-05,0.0,0.0,0.0,5.0,5.0,5.0
2016-03-06,0.0,0.0,0.0,5.0,5.0,5.0
2016-03-07,0.0,0.0,0.0,5.0,5.0,5.0
2016-03-09,-1.0,1.0,0.0,3.25,7.0,5.0
2016-03-10,0.0,0.0,0.0,5.0,5.0,5.0
2016-03-11,0.0,0.0,0.0,5.0,5.0,5.0
2016-03-13,0.0,0.0,0.0,5.0,5.0,5.0
2016-03-16,0.0,0.0,0.0,5.0,5.0,5.0
2016-03-20,0.0,0.0,0.0,5.0,5.0,5.0
2016-03-22,0.0,0.0,0.0,5.0,5.0,5.0
2016-03-24,0.0,0.0,0.0,5.0,5.0,5.0
2016-03-25,0.0,0.0,0.0,5.0,5.0,5.0
2016-03-26,0.0,0.0,0.0,5.0,5.0,5.0
2016-03-27,0.0,2.0,0.0,5.0,8.0,5.0
2016-03-29,0.0,0.0,0.0,5.0,5.0,5.0
2016-03-30,0.0,0.0,0.0,5.0,5.0,5.0
2016-04-01,0.0,0.0,0.0,5.0,5.0,5.0
2016-04-02,0.0,0.0,0.0,5.0,5.0,5.0
2016-04-07,0.0,0.0,0.0,5.0,5.0,5.0
2016-04-08,0.0,2.0,0.0,5.0,8.0,5.0
2016-04-17,0.0,0.0,0.0,5.0,5.0,5.0
2016-04-20,0.0,0.0,0.0,5.0,5.0,5.0
2016-04-30,0.0,0.0,0.0,5.0,5.0,5.0
2016-05-05,0.0,0.0,0.0,5.0,5.0,5.0
2016-05-07,0.0,0.0,0.0,5.0,5.0,5.0
2016-05-10,0.0,0.0,0.0,5.0,5.0,5.0
2016-05-12,0.0,0.0,0.0,5.0,5.0,5.0
2016-05-17,0.0,1.0,0.0,5.0,7.0,5.0
2016-05-21,0.0,0.0,0.0,5.0,5.0,5.0
2016-05-23,0.0,0.0,0.0,5.0,5.0,5.0
2016-05-24,0.0,0.0,0.0,5.0,5.0,5.0
2016-05-25,-1.0,0.0,0.0,3.25,5.0,5.0
2016-05-28,0.0,0.0,0.0,5.0,5.0,5.0
2016-05-31,0.0,0.0,0.0,5.0,5.0,5.0
2016-06-02,0.0,0.0,0.0,5.0,5.0,5.0
2016-06-08,0.0,0.0,0.0,5.0,5.0,5.0
2016-06-09,-1.0,1.0,0.0,3.25,7.0,5.0
2016-06-11,0.0,0.0,0.0,5.0,5.0,5.0
2016-06-15,0.0,0.0,0.0,5.0,5.0,5.0
2016-06-21,0.0,0.0,0.0,5.0,5.0,5.0
2016-06-25,0.0,0.0,0.0,5.0,5.0,5.0
2016-07-01,0.0,0.0,0.0,5.0,5.0,5.0
2016-07-02,0.0,0.0,0.0,5.0,5.0,5.0
2016-07-05,0.0,0.0,0.0,5.0,5.0,5.0
2016-07-07,0.0,0.0,0.0,5.0,5.0,5.0
2016-07-08,-4.0,1.0,1.0,1.0,7.0,8.0
2016-07-09,0.0,0.0,0.0,5.0,5.0,5.0
2016-07-12,0.0,1.0,0.0,5.0,7.0,5.0
2016-07-16,0.0,0.0,0.0,5.0,5.0,5.0
2016-07-17,0.0,0.0,0.0,5.0,5.0,5.0
2016-07-22,0.0,0.0,0.0,5.0,5.0,5.0
2016-07-29,0.0,0.0,0.0,5.0,5.0,5.0
2016-07-31,0.0,1.0,0.0,5.0,7.0,5.0
2016-08-03,0.0,0.0,0.0,5.0,5.0,5.0
2016-08-06,0.0,0.0,0.0,5.0,5.0,5.0
2016-08-11,0.0,0.0,0.0,5.0,5.0,5.0
2016-08-13,0.0,0.0,0.0,5.0,5.0,5.0
2016-08-17,-1.0,0.0,0.0,3.25,5.0,5.0
2016-08-20,0.0,0.0,0.0,5.0,5.0,5.0
2016-08-21,0.0,0.0,0.0,5.0,5.0,5.0
2016-08-25,0.0,0.0,0.0,5.0,5.0,5.0
2016-08-29,0.0,0.0,0.0,5.0,5.0,5.0
2016-09-03,0.0,0.0,0.0,5.0,5.0,5.0
2016-09-04,0.0,0.0,0.0,5.0,5.0,5.0
2016-09-14,0.0,0.0,0.0,5.0,5.0,5.0
2016-09-15,0.0,0.0,0.0,5.0,5.0,5.0
2016-09-17,0.0,0.0,0.0,5.0,5.0,5.0
2016-09-18,0.0,0.0,1.0,5.0,5.0,8.0
2016-09-25,-2.0,0.0,1.0,2.5,5.0,8.0
2016-09-29,0.0,0.0,0.0,5.0,5.0,5.0
2016-09-30,0.0,0.0,0.0,5.0,5.0,5.0
2016-10-05,0.0,0.0,0.0,5.0,5.0,5.0
2016-10-06,0.0,0.0,0.0,5.0,5.0,5.0
2016-10-08,-1.0,0.0,0.0,3.25,5.0,5.0
2016-10-10,0.0,0.0,0.0,5.0,5.0,5.0
2016-10-12,0.0,0.0,0.0,5.0,5.0,5.0
2016-10-17,0.0,0.0,0.0,5.0,5.0,5.0
2016-10-28,0.0,0.0,0.0,5.0,5.0,5.0
2016-10-29,0.0,0.0,0.0,5.0,5.0,5.0
2016-11-01,0.0,0.0,0.0,5.0,5.0,5.0
2016-11-04,-2.0,0.0,0.0,2.5,5.0,5.0
2016-11-15,0.0,0.0,0.0,5.0,5.0,5.0
2016-11-18,-1.0,1.0,0.0,3.25,7.0,5.0
2016-11-20,0.0,0.0,0.0,5.0,5.0,5.0
2016-11-21,0.0,0.0,0.0,5.0,5.0,5.0
2016-11-22,0.0,0.0,0.0,5.0,5.0,5.0
2016-11-24,0.0,0.0,0.0,5.0,5.0,5.0
2016-11-28,0.0,0.0,0.0,5.0,5.0,5.0
2016-11-29,0.0,0.0,0.0,5.0,5.0,5.0
2016-12-01,0.0,0.0,0.0,5.0,5.0,5.0
2016-12-02,0.0,0.0,0.0,5.0,5.0,5.0
2016-12-11,0.0,1.0,0.0,5.0,7.0,5.0
2016-12-17,0.0,0.0,0.0,5.0,5.0,5.0
2016-12-18,0.0,0.0,0.0,5.0,5.0,5.0
2016-12-20,0.0,1.0,0.0,5.0,7.0,5.0
2016-12-22,0.0,0.0,0.0,5.0,5.0,5.0
2016-12-25,0.0,0.0,0.0,5.0,5.0,5.0
2016-12-27,0.0,0.0,0.0,5.0,5.0,5.0
2016-12-28,0.0,1.0,0.0,5.0,7.0,5.0
2016-12-29,0.0,0.0,0.0,5.0,5.0,5.0
2016-12-30,0.0,0.0,0.0,5.0,5.0,5.0
2017-01-07,0.0,0.0,0.0,5.0,5.0,5.0
2017-01-12,0.0,0.0,0.0,5.0,5.0,5.0
2017-01-18,-2.0,0.0,0.0,2.5,5.0,5.0
2017-01-20,0.0,0.0,0.0,5.0,5.0,5.0
2017-01-23,0.0,0.0,0.0,5.0,5.0,5.0
2017-01-31,0.0,0.0,0.0,5.0,5.0,5.0
2017-02-06,0.0,0.0,0.0,5.0,5.0,5.0
2017-02-12,0.0,0.0,0.0,5.0,5.0,5.0
2017-02-21,0.0,0.0,0.0,5.0,5.0,5.0
2017-02-24,0.0,0.0,0.0,5.0,5.0,5.0
2017-02-27,0.0,0.0,0.0,5.0,5.0,5.0
