Date,Open,High,Low,Close,DAILY_CLOSEPRICE_CHANGE,Scaled_DAILY_CLOSEPRICE_CHANGE,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,RF_1_Predicted_Close_Price_Change,RF_2_Predicted_Close_Price_Change,RF_3_Predicted_Close_Price_Change,RF_4_Predicted_Close_Price_Change,RF_5_Predicted_Close_Price_Change,GBT_1_Predicted_Close_Price_Change,GBT_2_Predicted_Close_Price_Change,GBT_3_Predicted_Close_Price_Change,GBT_4_Predicted_Close_Price_Change,GBT_5_Predicted_Close_Price_Change,GRNN_1_Predicted_Close_Price_Change,GRNN_2_Predicted_Close_Price_Change,GRNN_3_Predicted_Close_Price_Change,GRNN_4_Predicted_Close_Price_Change,GRNN_5_Predicted_Close_Price_Change,CNN_1_Predicted_Close_Price_Change,CNN_2_Predicted_Close_Price_Change,CNN_3_Predicted_Close_Price_Change,CNN_4_Predicted_Close_Price_Change,CNN_5_Predicted_Close_Price_Change,LSTM_1_Predicted_Close_Price_Change,LSTM_2_Predicted_Close_Price_Change,LSTM_3_Predicted_Close_Price_Change,LSTM_4_Predicted_Close_Price_Change,LSTM_5_Predicted_Close_Price_Change,CNN_LSTM_1_Predicted_Close_Price_Change,CNN_LSTM_2_Predicted_Close_Price_Change,CNN_LSTM_3_Predicted_Close_Price_Change,CNN_LSTM_4_Predicted_Close_Price_Change,CNN_LSTM_5_Predicted_Close_Price_Change
2015-03-03,4010.89990234375,4019.0,3994.89990234375,4020.0,0.0,-5.612091966938283e-05,-2.572480362249968,0.8906998705652827,-0.7806101723047885,1.30770770256115,0.1046602454362767,-0.3300474700777168,-0.7296262026172059,1.0042307419121344,0.4258250585350375,0.4504375213767529,0.162979924581216,0.2430599707121511,0.3177425633558434,0.011041529435019,0.3112279138367674,-4.061618,-3.813109,-3.7921727,-3.756969,-3.3423426,-4.587537,0.27278727,-4.552358,-7.491569,-2.3972182,-114.074265,-851.63586,46.48221,160.90837,-110.2997,20.317509,-4.9214916,17.077839,-1.5928649,-42.708603,16.79712,-30.339275,-4.4508986,-24.757595,30.073109,58.293903,19.457647,34.10523,3.7897363,7.09036
2015-03-04,3987.39990234375,4027.0,3987.39990234375,4020.0,7.0,0.0218385205406791,-2.12513260148476,0.9598955895628248,-0.6501372017960294,1.0217085364998797,0.1291103077234978,-0.400530591323932,-0.5214872132352966,0.3417770038122548,0.2487595074564116,0.5219030684564745,-0.0807638741208274,0.3393502687764033,0.1900067667224853,0.2097341536155523,0.1239573610142764,-4.2140255,-3.813109,-3.847961,-3.756969,-3.5511594,-5.6253667,0.27278727,-4.552358,-7.491569,-2.3972182,-93.05467,-666.2577,28.943554,144.50475,-30.56542,23.975033,5.5541344,19.489573,2.8719678,-23.972477,16.83549,-30.029434,-4.5216885,-26.646019,30.073315,63.762173,21.216703,32.975533,14.166438,6.9392753
2015-03-05,4013.10009765625,4013.10009765625,3999.60009765625,4027.0,-16.0,-0.0501010156861803,-1.9154301602477235,1.2194956709112503,-0.3334081764875573,0.6678397218462356,0.1404264773472111,-0.434947824830875,-0.0181098239669167,-0.7187050243407485,-0.4283700778170676,0.1718242108165688,-0.2844969566041215,0.5157902591503306,-0.0110773617103857,0.2901017332527489,0.1534542184587201,-4.2140255,-3.813109,-3.847961,-3.756969,-3.5511594,-6.3778515,0.27278727,-4.552358,-7.491569,-2.3972182,-160.21205,-332.24326,98.217766,224.17683,20.085064,20.49225,0.9862685,6.9238186,1.9839483,-29.157673,15.704112,-36.772484,-4.4044776,-28.071299,30.073181,60.909615,19.77425,32.687885,12.565462,6.8449965
2015-03-06,4010.199951171875,4015.0,4000.89990234375,4011.0,14.0,0.0437331620010277,-2.8901101316105846,1.1142226067693268,-0.4924313856312708,0.3733270993632866,0.250966126892476,-0.5239020157693549,0.0002286404432816,-0.9523177453167886,-0.662040046168586,0.0216155437528661,-0.3232460043746588,0.5215971044890216,-0.0019435595155022,0.303245567320804,0.054842225557308,-1.3280314,-3.7341468,-3.0296676,-3.756969,-1.7493079,1.3717233,0.27278727,-4.552358,-7.491569,7.195869,-163.6056,-332.2012,105.09972,295.64365,10.078275,18.809668,5.2061944,9.909245,-3.6888595,-23.034801,15.353799,-36.59512,-4.44719,-27.412325,30.070908,62.75002,20.624353,35.873768,6.9545264,6.7310286
2015-03-09,4037.5,4037.5,4007.10009765625,4025.0,-20.0,-0.0626122393778081,-3.3614989113830998,1.2574704175944535,-0.2621046272263325,0.4680858857895564,0.1757219518997174,-0.4647643185537415,0.5074601993397372,-1.5046726775838688,0.5554008069762358,0.2324547165667574,-0.8519346876547249,0.7742379762492253,-0.7656248726949733,0.1339072906697229,0.5360115692009995,-1.0581871,-4.5860724,-5.121906,-3.8311727,-1.3904262,-4.207644,-2.283701,-5.677324,-8.265668,-34.11822,-188.81793,-361.9293,224.85219,403.5186,-302.99915,10.943182,-4.4792657,-4.3977184,-14.421401,-42.481647,12.836676,-36.414593,-4.3176546,-21.40091,30.069166,54.852547,16.307676,38.311256,-14.908329,6.9735007
2015-03-10,4017.800048828125,4017.800048828125,4010.0,4005.0,-3595.0,-11.244518413770104,-4.5957823052495534,0.9753645056245392,-0.5818855008449562,0.0489919158338353,0.3312509731258317,-0.5456137178800384,0.4338565825237435,-1.615718251123604,-0.1256826882710387,-0.1384150956857626,-0.7843315468798735,0.6545457826645152,-0.6685818125613636,0.0068933178712308,0.5830266572012461,-419.37332,-49.693142,-137.6086,-4.2076054,-436.02188,-2545.0544,-2367.8396,-1876.0426,-1382.2316,-1849.121,-217.5216,-353.52283,151.1837,509.8848,-258.51648,18.237114,10.116702,3.470851,-12.195337,-9.811703,12.482246,-33.523308,-4.247902,-19.995173,30.067013,80.941284,21.383484,44.929207,-14.436015,15.047826
2015-03-11,4022.89990234375,4022.89990234375,3924.800048828125,410.0,3605.0,11.275684231159836,-40.566328994282095,-45.39207034463981,-35.7901585170677,-20.075088141478165,9.708518366153545,-6.552220179118072,-3.8630798273323066,-1.4057045396058645,5.098287745027737,-2.624304756694056,2.3446576336418894,-0.5395630437259957,1.3722417511632232,1.0130123052899482,1.0687765198670962,615.2778,519.25867,431.7198,68.24006,827.49884,3321.573,3187.8062,2936.2092,3262.923,3599.623,2747.9521,-6157.4824,2042.375,3626.0986,-7502.4697,3354.8372,2808.198,3749.7324,4220.2812,2176.5542,12.930419,-31.988745,-4.420584,-3.3684897,30.063503,2311.3887,3111.4258,332.8261,1046.4106,75.69908
2015-03-12,3944.39990234375,4017.0,3927.300048828125,4015.0,-12.0,-0.0375897919945526,-2.4728731340093395,-27.026773108373487,-7.541086102140177,9.674194219126104,-4.493809416656138,6.2339438264458575,13.70366425449545,-3.479613852063746,-2.7614814612021115,7.297077222618741,1.6044504290247052,-5.686826460406101,4.222844647042031,3.791645958903689,-0.0351267251689273,18.060719,48.27994,7.5623593,-3.5310757,29.357086,344.55515,140.49796,143.40514,120.351456,38.206696,-65.409386,-3418.7048,-281.23785,-846.35254,401.87756,351.3065,355.5832,217.91725,323.83157,138.47633,14.5893955,-21.510654,-4.368809,1.2418764,30.058739,167.94868,-213.22183,207.89484,-105.45491,70.27489
2015-03-13,3937.39990234375,3941.199951171875,3937.39990234375,4003.0,3.0,0.0093272968490514,14.057888030478452,-23.580538753607534,-3.746807019421052,10.743029145411278,-2.874956669608389,1.409786307111322,9.616228686130157,-0.480805773666578,-0.1509423178766454,-0.3880899986290418,3.198871110302681,0.2646010724878666,3.9001202250392937,-1.8825711201695463,-0.5843153967746395,-4.230654,-3.8130736,-3.580751,-3.8502548,-3.5599315,9.83246,5.925655,-4.552358,-7.491569,16.825949,695.3693,-929.2342,85.09665,-2180.877,200.14,47.695415,126.40514,-36.209225,2.1873384,-17.78895,17.197823,-12.310376,-4.6847987,-21.023527,30.03894,-81.33935,-340.39142,114.950226,-140.00839,13.380084
2015-03-16,3968.89990234375,4005.0,3913.0,4006.0,-2.0,-0.0063117327654832,-2.732308363315284,-18.355403747555197,0.726651910858773,10.952401621070203,-2.371633123407818,0.756658183646246,3.8464368511386526,-0.4455624593680106,0.4986859679996555,-4.154291621728618,0.5787955036183214,-1.318319023599564,-1.3868449306690176,-3.685286095156755,-1.2938439043974972,-3.923153,-3.8130736,-3.9479468,-3.8502548,-3.2470522,-0.32631725,0.27278727,-4.552358,-7.491569,-2.3972182,209.4954,-515.9089,257.32114,-886.03235,368.76144,143.62978,172.97066,159.77109,99.31429,142.3509,19.240576,-1.1857915,-4.778373,-26.096767,29.977785,171.86418,71.964035,106.22998,-41.393417,51.843758
